method,seed,supported,note,anomaly_radius_ratio_med,anomaly_radius_ratio_min,attribution_accuracy,angle_to_own_med,angle_to_own_max,pair_angle_c0,pair_angle_c1,pair_angle_c2,pair_angle_c3,pair_angle_c4,pair_angle_med,pair_angle_max,add_bulk_radius_ratio,hd_anomaly_radius_ratio_med,hd_anomaly_radius_ratio_min,hd_attribution_accuracy,hd_angle_to_own_med,hd_angle_to_own_max
PCA,0,True,,0.9658987464960609,0.6872824739380323,0.8,3.3098738140480766,10.104146397445323,1.8000606915604103,2.1618110030898303,5.0247937209590505,11.943742864208978,9.775708869661761,5.0247937209590505,11.943742864208978,0.874430454753718,2.374220601899749,2.2851096684689374,1.0,73.36242829650959,75.06442434155389
Isomap,0,True,,1.3367350284508053,0.755032151027397,0.9,7.203260720260104,16.97287928307477,0.10779236415329226,0.08335924530028122,24.039706283382955,6.385284427765834,1.9320599838268295,1.9320599838268295,24.039706283382955,1.0114060579229813,2.374220601899749,2.2851096684689374,1.0,73.36242829650959,75.06442434155389
UMAP,0,True,,0.9616835048181109,0.4862026080218628,1.0,2.1760644617703715,7.915618535057513,1.3468172125690345,3.801043368922828,6.7420265786743245,9.299355499200038,0.5806227342536854,3.801043368922828,9.299355499200038,0.9391765086258292,2.374220601899749,2.2851096684689374,1.0,73.36242829650959,75.06442434155389
UMAP,1,True,,0.9711793990913422,0.2814398104880297,1.0,3.4292182160454425,8.032341592197417,5.531921150491733,8.843934237792807,0.9735406933292916,0.0925119825154997,1.5590724400653768,1.5590724400653768,8.843934237792807,0.9348934318585385,2.374220601899749,2.2851096684689374,1.0,73.36242829650959,75.06442434155389
UMAP,2,True,,1.0418594931451097,0.261311489671004,1.0,3.333527101489522,12.519303984408273,1.2196863790686165,0.7470045069337896,3.0424364222852396,23.921217199589346,0.7942989652305924,1.2196863790686165,23.921217199589346,1.0025443913850722,2.374220601899749,2.2851096684689374,1.0,73.36242829650959,75.06442434155389
DREAMS,0,True,,1.0374700325018742,0.5331286869133502,1.0,0.5303773098764342,1.8236547641346383,0.5207781839461504,0.04198438785283511,0.009264033117664343,0.2926127952194371,0.5750501016765546,0.2926127952194371,0.5750501016765546,1.069572129578907,2.374220601899749,2.2851096684689374,1.0,73.36242829650959,75.06442434155389
toorPIA,0,True,,9.732190459599213,8.654103430551002,1.0,0.8900914312175623,2.772914733948381,0.6302568577504024,0.7286826582147381,0.3464571264768619,2.583462934249752,0.4398967822318482,0.6302568577504024,2.583462934249752,0.9586381955889649,2.374220601899749,2.2851096684689374,1.0,73.36242829650959,75.06442434155389
t-SNE,0,False,sklearn TSNE has no out-of-sample transform,,,,,,,,,,,,,,,,,,
PyMDE,0,False,pymde optimizes fit coordinates; no transform,,,,,,,,,,,,,,,,,,
PCC,0,False,pccdr optimizes fit coordinates; no transform,,,,,,,,,,,,,,,,,,
