method,seed,bridge,gap,gap_nn,gap_ratio,torn
PCA,0,0-1,0.47902160405647665,10.537850352618616,0.14427549971070144,False
PCA,0,1-2,0.5661564631278206,12.454703575134396,0.20836519614241356,False
PCA,0,2-3,0.48955821173115527,10.769641975292329,0.17545105027276559,False
PCA,0,3-4,0.24955030113049617,5.489781058922838,0.14504723615082424,False
PCA,0,4-5,0.20829163057984473,4.58214413330414,0.13262959905125407,False
PCA,0,5-6,0.35901131761200833,7.897780617522494,0.1832976237903251,False
PCA,0,6-0,0.4578531552434087,10.07217209531213,0.16807649251157802,False
Isomap,0,0-1,3.8085401922686355,34.76756778942552,0.22535185976761768,False
Isomap,0,1-2,3.0582418289649858,27.918211371601828,0.13806878293730535,False
Isomap,0,2-3,3.9998509504133866,36.51401378102788,0.180197817926806,False
Isomap,0,3-4,3.2695137626895727,29.84687981330131,0.12364973970230894,False
Isomap,0,4-5,4.091090298425483,37.346923519912366,0.1356425818061226,False
Isomap,0,5-6,4.509823314038587,41.16947173288716,0.17268867192617463,False
Isomap,0,6-0,4.55009298148196,41.53708722911778,0.18069071697551292,False
PyMDE,0,0-1,0.0029990860976084562,0.20883719150861235,0.002990646519073664,False
PyMDE,0,1-2,0.4960560932136786,34.54217650506539,0.2869305757541548,False
PyMDE,0,2-3,0.08433958665666473,5.872869880067906,0.032090923058402256,False
PyMDE,0,3-4,0.0021585381826431872,0.15030680585888237,0.0021777704164187583,False
PyMDE,0,4-5,0.002230918969620685,0.15534694134669563,0.0018682087165814284,False
PyMDE,0,5-6,0.02340930308801487,1.6300742802860198,0.01383022653508384,False
PyMDE,0,6-0,0.0030865477834545866,0.21492746442584523,0.004928489837418953,False
PyMDE,1,0-1,0.0663400571334192,6.027700444338699,0.0365583710638756,False
PyMDE,1,1-2,0.12008575262919159,10.911069054794137,0.0457599803233099,False
PyMDE,1,2-3,0.2888243261272958,26.24276484164066,0.13509383313133064,False
PyMDE,1,3-4,0.7773246054984176,70.6282157782146,0.29549756809770295,False
PyMDE,1,4-5,0.005779672880796283,0.5251448114017098,0.0045182862548696825,False
PyMDE,1,5-6,0.014549534473265614,1.3219801006961274,0.009209105582527011,False
PyMDE,1,6-0,0.001250650008705686,0.11363486766413824,0.013955473818597283,False
PyMDE,2,0-1,0.027517542752908814,1.8776282355231813,0.016017840012559202,False
PyMDE,2,1-2,0.0021534937177443607,0.1469411947776905,0.0016034949327310844,False
PyMDE,2,2-3,0.0030771457249080506,0.2099655390667487,0.0035832195734352753,False
PyMDE,2,3-4,0.5682801201754851,38.775947725754165,0.24181595877722808,False
PyMDE,2,4-5,0.16584991632473953,11.316580428227738,0.08144222844618847,False
PyMDE,2,5-6,0.05394692906305839,3.68100735367649,0.03184901686503224,False
PyMDE,2,6-0,0.08526372220554128,5.8178731188491035,0.04269702933496758,False
PCC,0,0-1,5.070124987635903,18.768437353511604,0.143821172968681,False
PCC,0,1-2,5.699712210034313,21.099024542382008,0.08667485095633912,False
PCC,0,2-3,7.838717467028212,29.017130360803094,0.12481813141232413,False
PCC,0,3-4,4.278697258246746,15.838753806243004,0.12466083909753314,False
PCC,0,4-5,6.322114899619399,23.403016242117538,0.10098280851051547,False
PCC,0,5-6,6.919975207032781,25.61615768403519,0.11254826619649541,False
PCC,0,6-0,5.815043699484592,21.525955207782438,0.08910169652374256,False
PCC,1,0-1,6.386638485609068,23.92163024613911,0.09679736058908817,False
PCC,1,1-2,8.815684988411315,33.019804883962095,0.10352748395460139,False
PCC,1,2-3,5.091688895599232,19.071300084285497,0.13856921588445906,False
PCC,1,3-4,7.0887994098459215,26.551626298167008,0.08354224059409429,False
PCC,1,4-5,6.1557351959746445,23.05676477274523,0.09276624193577199,False
PCC,1,5-6,5.746826097298471,21.525165280327652,0.15952955324397372,False
PCC,1,6-0,7.926121767640611,29.68787956897975,0.08995730336632989,False
PCC,2,0-1,6.6821280784719335,24.593495402736874,0.10639789026640362,False
PCC,2,1-2,8.565540928672382,31.525374697611547,0.10483816912560989,False
PCC,2,2-3,5.337990994963239,19.646414353748856,0.16329798070163282,False
