method,dim,metric,median,ci_lo,ci_hi,n_runs
DREAMS,6,shepard_p100__vs_truth,0.6689420173396065,0.6689420173396065,0.6689420173396065,1
DREAMS,6,shepard_p20__vs_truth,-0.005074941188194948,-0.005074941188194948,-0.005074941188194948,1
DREAMS,6,full_shepard,0.626912751049875,0.626912751049875,0.626912751049875,1
DREAMS,6,shepard_p5__vs_ambient,0.5076872515520441,0.5076872515520441,0.5076872515520441,1
DREAMS,6,knn_acc_k10,1.0,1.0,1.0,1
DREAMS,6,silhouette_2d,0.8645826819014298,0.8645826819014298,0.8645826819014298,1
DREAMS,6,tight_over_compression,0.05511367488446452,0.05511367488446452,0.05511367488446452,1
DREAMS,6,recall_k15,0.6693333333333332,0.6693333333333332,0.6693333333333332,1
DREAMS,40,shepard_p100__vs_truth,0.6039642744691239,0.6039642744691239,0.6039642744691239,1
DREAMS,40,shepard_p20__vs_truth,0.0016272069893849518,0.0016272069893849518,0.0016272069893849518,1
DREAMS,40,full_shepard,0.26831211113500186,0.26831211113500186,0.26831211113500186,1
DREAMS,40,shepard_p5__vs_ambient,0.2503697675178599,0.2503697675178599,0.2503697675178599,1
DREAMS,40,knn_acc_k10,0.991,0.991,0.991,1
DREAMS,40,silhouette_2d,0.530324941228939,0.530324941228939,0.530324941228939,1
DREAMS,40,tight_over_compression,0.015364301632327573,0.015364301632327573,0.015364301632327573,1
DREAMS,40,recall_k15,0.21573333333333336,0.21573333333333336,0.21573333333333336,1
DREAMS,80,shepard_p100__vs_truth,0.44479153665847265,0.44479153665847265,0.44479153665847265,1
DREAMS,80,shepard_p20__vs_truth,0.012103188488042961,0.012103188488042961,0.012103188488042961,1
DREAMS,80,full_shepard,0.26655747086181997,0.26655747086181997,0.26655747086181997,1
DREAMS,80,shepard_p5__vs_ambient,0.18625072462950856,0.18625072462950856,0.18625072462950856,1
DREAMS,80,knn_acc_k10,0.914,0.914,0.914,1
DREAMS,80,silhouette_2d,0.35434799004283035,0.35434799004283035,0.35434799004283035,1
DREAMS,80,tight_over_compression,0.012321688309670566,0.012321688309670566,0.012321688309670566,1
DREAMS,80,recall_k15,0.16406666666666667,0.16406666666666667,0.16406666666666667,1
DREAMS,200,shepard_p100__vs_truth,0.08601317803823846,0.08601317803823846,0.08601317803823846,1
