method,dim,metric,median,ci_lo,ci_hi,n_runs
toorPIA-embedding,6,shepard_p100__vs_truth,0.5844361752939423,0.5844361752939423,0.5844361752939423,1
toorPIA-embedding,6,shepard_p20__vs_truth,0.004159235679686765,0.004159235679686765,0.004159235679686765,1
toorPIA-embedding,6,full_shepard,0.8064251902135623,0.8064251902135623,0.8064251902135623,1
toorPIA-embedding,6,shepard_p5__vs_ambient,0.36596448981175195,0.36596448981175195,0.36596448981175195,1
toorPIA-embedding,6,knn_acc_k10,1.0,1.0,1.0,1
toorPIA-embedding,6,silhouette_2d,0.6265169174623566,0.6265169174623566,0.6265169174623566,1
toorPIA-embedding,6,tight_over_compression,0.018362426401270237,0.018362426401270237,0.018362426401270237,1
toorPIA-embedding,6,recall_k15,0.28673333333333334,0.28673333333333334,0.28673333333333334,1
toorPIA-embedding,40,shepard_p100__vs_truth,0.39788294693865756,0.39788294693865756,0.39788294693865756,1
toorPIA-embedding,40,shepard_p20__vs_truth,0.007272534306872759,0.007272534306872759,0.007272534306872759,1
toorPIA-embedding,40,full_shepard,0.5730200076644101,0.5730200076644101,0.5730200076644101,1
toorPIA-embedding,40,shepard_p5__vs_ambient,0.23660313860480423,0.23660313860480423,0.23660313860480423,1
toorPIA-embedding,40,knn_acc_k10,0.998,0.998,0.998,1
toorPIA-embedding,40,silhouette_2d,0.366660835285281,0.366660835285281,0.366660835285281,1
toorPIA-embedding,40,tight_over_compression,0.011664165876461569,0.011664165876461569,0.011664165876461569,1
toorPIA-embedding,40,recall_k15,0.07046666666666666,0.07046666666666666,0.07046666666666666,1
toorPIA-embedding,80,shepard_p100__vs_truth,0.40886059469664965,0.40886059469664965,0.40886059469664965,1
toorPIA-embedding,80,shepard_p20__vs_truth,-0.004100596580662492,-0.004100596580662492,-0.004100596580662492,1
toorPIA-embedding,80,full_shepard,0.5258709239691484,0.5258709239691484,0.5258709239691484,1
toorPIA-embedding,80,shepard_p5__vs_ambient,0.20023100749755846,0.20023100749755846,0.20023100749755846,1
toorPIA-embedding,80,knn_acc_k10,0.985,0.985,0.985,1
