dataset,method,knob,value,metric,median,ci_lo,ci_hi,n_runs
clusters,DREAMS,reg_lambda,0.05,full_shepard,0.41168445333164105,0.41168445333164105,0.41168445333164105,1
clusters,DREAMS,reg_lambda,0.05,shepard_near__vs_ambient,0.4657409504022136,0.4657409504022136,0.4657409504022136,1
clusters,DREAMS,reg_lambda,0.05,recall_k15,0.25393333333333334,0.25393333333333334,0.25393333333333334,1
clusters,DREAMS,reg_lambda,0.1,full_shepard,0.4131722619556328,0.4131722619556328,0.4131722619556328,1
clusters,DREAMS,reg_lambda,0.1,shepard_near__vs_ambient,0.46598522138456855,0.46598522138456855,0.46598522138456855,1
clusters,DREAMS,reg_lambda,0.1,recall_k15,0.25033333333333335,0.25033333333333335,0.25033333333333335,1
clusters,DREAMS,reg_lambda,0.15,full_shepard,0.4125666250801484,0.4125666250801484,0.4125666250801484,1
clusters,DREAMS,reg_lambda,0.15,shepard_near__vs_ambient,0.4688880560394687,0.4688880560394687,0.4688880560394687,1
clusters,DREAMS,reg_lambda,0.15,recall_k15,0.25066666666666665,0.25066666666666665,0.25066666666666665,1
clusters,DREAMS,reg_lambda,0.3,full_shepard,0.41717219328049515,0.41717219328049515,0.41717219328049515,1
clusters,DREAMS,reg_lambda,0.3,shepard_near__vs_ambient,0.46916190372177974,0.46916190372177974,0.46916190372177974,1
clusters,DREAMS,reg_lambda,0.3,recall_k15,0.24359999999999998,0.24359999999999998,0.24359999999999998,1
clusters,DREAMS,reg_lambda,0.5,full_shepard,0.42627946402562616,0.42627946402562616,0.42627946402562616,1
clusters,DREAMS,reg_lambda,0.5,shepard_near__vs_ambient,0.46027550296663355,0.46027550296663355,0.46027550296663355,1
clusters,DREAMS,reg_lambda,0.5,recall_k15,0.22319999999999998,0.22319999999999998,0.22319999999999998,1
clusters,UMAP,n_neighbors,5,full_shepard,0.35348620504737105,0.3522876763076936,0.3564057090981233,3
clusters,UMAP,n_neighbors,5,shepard_near__vs_ambient,0.06856514237217118,0.06727025655747385,0.07031693648457281,3
clusters,UMAP,n_neighbors,5,recall_k15,0.207,0.206,0.20733333333333331,3
clusters,UMAP,n_neighbors,15,full_shepard,0.35944112583847077,0.34514951150003875,0.3667869219839932,3
clusters,UMAP,n_neighbors,15,shepard_near__vs_ambient,0.09960898541992692,0.08694349104253558,0.10261481930466516,3
