dataset,snr,method,metric,stochastic,n_runs,median,mean,std,ci_lo,ci_hi
clusters,1.0,Isomap,shepard_p5__vs_ambient,False,1,-0.0143675928505137,-0.0143675928505137,0.0,-0.0143675928505137,-0.0143675928505137
clusters,1.0,Isomap,shepard_p10__vs_ambient,False,1,-0.0263112197215466,-0.0263112197215466,0.0,-0.0263112197215466,-0.0263112197215466
clusters,1.0,Isomap,shepard_p20__vs_ambient,False,1,0.5161000932813709,0.5161000932813709,0.0,0.5161000932813709,0.5161000932813709
clusters,1.0,Isomap,shepard_p30__vs_ambient,False,1,0.6474703399081779,0.6474703399081779,0.0,0.6474703399081779,0.6474703399081779
clusters,1.0,Isomap,shepard_p50__vs_ambient,False,1,0.5371170185730698,0.5371170185730698,0.0,0.5371170185730698,0.5371170185730698
clusters,1.0,Isomap,shepard_p75__vs_ambient,False,1,0.4084466577871264,0.4084466577871264,0.0,0.4084466577871264,0.4084466577871264
clusters,1.0,Isomap,shepard_p100__vs_ambient,False,1,0.3368580141343704,0.3368580141343704,0.0,0.3368580141343704,0.3368580141343704
clusters,1.0,Isomap,stress_p5__vs_ambient,False,1,0.5397963050079669,0.5397963050079669,0.0,0.5397963050079669,0.5397963050079669
clusters,1.0,Isomap,stress_fidelity_p5__vs_ambient,False,1,0.460203694992033,0.460203694992033,0.0,0.460203694992033,0.460203694992033
clusters,1.0,Isomap,stress_p10__vs_ambient,False,1,0.5543878850509514,0.5543878850509514,0.0,0.5543878850509514,0.5543878850509514
clusters,1.0,Isomap,stress_fidelity_p10__vs_ambient,False,1,0.4456121149490486,0.4456121149490486,0.0,0.4456121149490486,0.4456121149490486
clusters,1.0,Isomap,stress_p20__vs_ambient,False,1,0.5679973574375011,0.5679973574375011,0.0,0.5679973574375011,0.5679973574375011
clusters,1.0,Isomap,stress_fidelity_p20__vs_ambient,False,1,0.4320026425624989,0.4320026425624989,0.0,0.4320026425624989,0.4320026425624989
clusters,1.0,Isomap,stress_p30__vs_ambient,False,1,0.4980075326679913,0.4980075326679913,0.0,0.4980075326679913,0.4980075326679913
clusters,1.0,Isomap,stress_fidelity_p30__vs_ambient,False,1,0.5019924673320086,0.5019924673320086,0.0,0.5019924673320086,0.5019924673320086
clusters,1.0,Isomap,stress_p50__vs_ambient,False,1,0.4424761068351093,0.4424761068351093,0.0,0.4424761068351093,0.4424761068351093
clusters,1.0,Isomap,stress_fidelity_p50__vs_ambient,False,1,0.5575238931648907,0.5575238931648907,0.0,0.5575238931648907,0.5575238931648907
