dataset,snr,method,seed,stochastic,n,d,shepard_p5__vs_ambient,shepard_p10__vs_ambient,shepard_p20__vs_ambient,shepard_p30__vs_ambient,shepard_p50__vs_ambient,shepard_p75__vs_ambient,shepard_p100__vs_ambient,stress_p5__vs_ambient,stress_fidelity_p5__vs_ambient,stress_p10__vs_ambient,stress_fidelity_p10__vs_ambient,stress_p20__vs_ambient,stress_fidelity_p20__vs_ambient,stress_p30__vs_ambient,stress_fidelity_p30__vs_ambient,stress_p50__vs_ambient,stress_fidelity_p50__vs_ambient,stress_p75__vs_ambient,stress_fidelity_p75__vs_ambient,stress_p100__vs_ambient,stress_fidelity_p100__vs_ambient,pp_shepard_p5__vs_ambient,pp_shepard_p10__vs_ambient,pp_shepard_p20__vs_ambient,pp_shepard_p30__vs_ambient,pp_shepard_p50__vs_ambient,pp_shepard_p75__vs_ambient,pp_shepard_p100__vs_ambient,full_shepard,full_stress,full_stress_fidelity,shepard_p5__vs_truth,shepard_p10__vs_truth,shepard_p20__vs_truth,shepard_p30__vs_truth,shepard_p50__vs_truth,shepard_p75__vs_truth,shepard_p100__vs_truth,stress_p5__vs_truth,stress_fidelity_p5__vs_truth,stress_p10__vs_truth,stress_fidelity_p10__vs_truth,stress_p20__vs_truth,stress_fidelity_p20__vs_truth,stress_p30__vs_truth,stress_fidelity_p30__vs_truth,stress_p50__vs_truth,stress_fidelity_p50__vs_truth,stress_p75__vs_truth,stress_fidelity_p75__vs_truth,stress_p100__vs_truth,stress_fidelity_p100__vs_truth,pp_shepard_p5__vs_truth,pp_shepard_p10__vs_truth,pp_shepard_p20__vs_truth,pp_shepard_p30__vs_truth,pp_shepard_p50__vs_truth,pp_shepard_p75__vs_truth,pp_shepard_p100__vs_truth,cluster_ratio_truth,cluster_ratio_2d,cluster_over_compression,recall_k5,recall_k15,recall_k30,trust_k5,trust_k15,trust_k30,cont_k5,cont_k15,cont_k30,osp_o0__vs_ambient,log2_osp_o0__vs_ambient,iso_rank_hd_o0__vs_ambient,iso_rank_2d_o0,iso_rank_delta_o0__vs_ambient,osp_o1__vs_ambient,log2_osp_o1__vs_ambient,iso_rank_hd_o1__vs_ambient,iso_rank_2d_o1,iso_rank_delta_o1__vs_ambient,osp_o2__vs_ambient,log2_osp_o2__vs_ambient,iso_rank_hd_o2__vs_ambient,iso_rank_2d_o2,iso_rank_delta_o2__vs_ambient,osp_median__vs_ambient,osp_min__vs_ambient,log2_osp_median__vs_ambient,iso_rank_delta_mean__vs_ambient,osp_o0__vs_truth,log2_osp_o0__vs_truth,iso_rank_hd_o0__vs_truth,iso_rank_delta_o0__vs_truth,osp_o1__vs_truth,log2_osp_o1__vs_truth,iso_rank_hd_o1__vs_truth,iso_rank_delta_o1__vs_truth,osp_o2__vs_truth,log2_osp_o2__vs_truth,iso_rank_hd_o2__vs_truth,iso_rank_delta_o2__vs_truth,osp_median__vs_truth,osp_min__vs_truth,log2_osp_median__vs_truth,iso_rank_delta_mean__vs_truth,osp_o3__vs_ambient,log2_osp_o3__vs_ambient,iso_rank_hd_o3__vs_ambient,iso_rank_2d_o3,iso_rank_delta_o3__vs_ambient,osp_o4__vs_ambient,log2_osp_o4__vs_ambient,iso_rank_hd_o4__vs_ambient,iso_rank_2d_o4,iso_rank_delta_o4__vs_ambient,osp_o5__vs_ambient,log2_osp_o5__vs_ambient,iso_rank_hd_o5__vs_ambient,iso_rank_2d_o5,iso_rank_delta_o5__vs_ambient,pair_cohesion_dir0__vs_ambient,pair_angle_2d_dir0,pair_angle_hd_dir0__vs_ambient,pair_cohesion_dir1__vs_ambient,pair_angle_2d_dir1,pair_angle_hd_dir1__vs_ambient,pair_cohesion_dir2__vs_ambient,pair_angle_2d_dir2,pair_angle_hd_dir2__vs_ambient,pair_cohesion_median__vs_ambient,pair_angle_2d_max,outlier_shepard__vs_ambient,within_majority_shepard__vs_ambient,within_minority_shepard__vs_ambient,cross_population_shepard__vs_ambient,population_over_compression,minority_shepard__vs_ambient
density,1.0,PCA,0,False,1000,768,0.03345963062218821,0.03438670424360973,0.07187236276418467,0.6450772967353502,0.7595936583916739,0.6956320938044964,0.6992150676150082,0.457200538713889,0.542799461286111,0.4589831893377604,0.5410168106622396,0.46411299040473747,0.5358870095952626,0.6562971154345371,0.34370288456546294,0.555808150308521,0.44419184969147896,0.4978555936898966,0.5021444063101034,0.47115729191897643,0.5288427080810236,0.7723727940111392,0.7788060394290177,0.7818526528693027,0.7830232179963699,0.7834087831388288,0.719746011071819,0.6992150676150108,0.6992150676150082,0.47115729191897643,0.5288427080810236,0.06278633167289567,0.0873218107952971,0.16395938273418126,0.6777904626167004,0.7676362283658503,0.6944567318639442,0.6971523874443142,0.46860478312740367,0.5313952168725964,0.46854474796946566,0.5314552520305343,0.4670983293788188,0.5329016706211812,0.43068593835540897,0.5693140616445911,0.40265098202296834,0.5973490179770317,0.3939386847550258,0.6060613152449742,0.3934602730805746,0.6065397269194255,0.7767229793048221,0.7853121591335956,0.7890288391119463,0.7901545477378649,0.7900560667618974,0.7194943009704485,0.6971523874443157,0.15486872543236158,0.25681391690105504,0.6030386799171371,0.0366,0.06939999999999999,0.1036,0.6255016129032258,0.6276552030023883,0.6364545137070019,0.7958481854838709,0.7852965540771067,0.7842921948664222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
density,1.0,Isomap,0,False,1000,768,0.004992367877741761,-0.01602563852051547,-0.049636965040975506,0.5005538554387943,0.6602865026333778,0.61393255231315,0.559274241799301,0.4906176322830384,0.5093823677169615,0.4943022536489068,0.5056977463510932,0.49933186661135576,0.5006681333886442,0.5693368846136042,0.4306631153863958,0.5268940298732857,0.4731059701267143,0.49294392589338887,0.5070560741066111,0.4696395654796702,0.5303604345203299,0.6413188349633344,0.670782440124371,0.684104152060334,0.6892315334470807,0.6903554560904892,0.6001565533832585,0.5592742417993017,0.559274241799301,0.4696395654796702,0.5303604345203299,0.016449448621573104,0.026170317717435127,0.07469098182520677,0.550559665933924,0.6734096717652703,0.6147047171374421,0.556554022645159,0.5013207988492371,0.4986792011507629,0.5037842362595258,0.49621576374047416,0.5142647319233784,0.4857352680766216,0.5074191390008612,0.4925808609991388,0.449375158383397,0.5506248416166031,0.4399026134841114,0.5600973865158886,0.44894622881910246,0.5510537711808976,0.6660564756531058,0.6953268825042975,0.7078870661194271,0.7102581083389888,0.7041936013118089,0.5999796651593982,0.5565540226451607,0.15486872543236158,0.4210713925592569,0.36779683485756415,0.027200000000000002,0.05973333333333333,0.09043333333333334,0.6009415322580645,0.600531559194814,0.6066766893661604,0.7833633064516129,0.7761701808256567,0.7523074209883011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
density,1.0,PyMDE,0,True,1000,768,0.13816684179764027,0.14541767244289394,0.2086951805290534,0.6279637616309627,0.7242113744652018,0.6759923713407447,0.5976382337250686,0.6552752733626495,0.34472472663735054,0.632981747270967,0.367018252729033,0.6029266072452749,0.3970733927547251,0.5224949355474344,0.4775050644525656,0.4254235039389783,0.5745764960610217,0.3815619588971413,0.6184380411028587,0.40905203517764316,0.5909479648223568,0.6904086409519882,0.7289035711584055,0.7484688411034268,0.7535942443793431,0.74647404735572,0.6527826963604557,0.5976382337250645,0.5976382337250686,0.40905203517764316,0.5909479648223568,-0.0005757191277217307,-0.011702111527811126,-0.02060430515095208,0.5450970715798518,0.7026315719548436,0.6676969496767898,0.5916644279797633,0.6029211206676778,0.3970788793323222,0.6127573256479542,0.38724267435204585,0.6355959790820223,0.36440402091797774,0.5399318074365413,0.46006819256345866,0.41191259894600135,0.5880874010539987,0.3647696504436356,0.6352303495563645,0.4144702379731878,0.5855297620268122,0.6173569628156735,0.6704017617317948,0.7036171262994645,0.71628832468712,0.7269079528024749,0.6448776374204113,0.5916644279797588,0.15486872543236158,0.6695739503824542,0.23129443035216957,0.019200000000000002,0.04253333333333333,0.0649,0.5702737903225806,0.566883998635278,0.5634981316570631,0.6233391129032257,0.6324034118048447,0.6586058669460451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
density,1.0,PyMDE,1,True,1000,768,0.15122591640604635,0.1793263137964571,0.24270151638011458,0.627191687175875,0.722645757079031,0.683616263585876,0.608457979836353,0.6888126286825781,0.3111873713174219,0.658561060436644,0.341438939563356,0.6183012804110845,0.38169871958891555,0.5295780155512574,0.4704219844487426,0.4311370907200321,0.568862909279968,0.38678420065479086,0.6132157993452092,0.4113134415527168,0.5886865584472831,0.7015660705644281,0.7377229435029251,0.7558477987687552,0.7585085926372501,0.7475644332630864,0.6550309004759334,0.6084579798363531,0.608457979836353,0.4113134415527168,0.5886865584472831,0.028812054840277556,0.03257414597048833,0.034123550705669387,0.5520709704234701,0.7005017806136401,0.6731522779518625,0.6022538687446845,0.6372806879112366,0.3627193120887634,0.6345898603104595,0.3654101396895405,0.6409678962525073,0.3590321037474927,0.5536834761997328,0.4463165238002672,0.4207900493214338,0.5792099506785662,0.3710076949310926,0.6289923050689075,0.41551168027818336,0.5844883197218167,0.6229299987731706,0.6756043525305184,0.7095824273796218,0.72243956506402,0.7305298800309651,0.6464488022355248,0.6022538687446832,0.15486872543236158,0.6773017583533035,0.22865543093950866,0.0224,0.04673333333333333,0.06763333333333334,0.5700979838709678,0.5680648925281473,0.5677113322856644,0.6431280241935484,0.6463950870010235,0.6666443862406146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
density,1.0,PyMDE,2,True,1000,768,0.11580525095738767,0.13294207870273783,0.18865393964203564,0.5908422027205223,0.7021848695337057,0.6711129288912493,0.5982461783808886,0.6547513578519356,0.3452486421480644,0.634359798500261,0.36564020149973897,0.6083555570018244,0.3916444429981756,0.5244253833667244,0.4755746166332756,0.42990934821537774,0.5700906517846223,0.38642951145847204,0.613570488541528,0.4120381230972724,0.5879618769027276,0.6766134884358974,0.7120663782948323,0.7318262184627456,0.7372711273546807,0.7320383906422874,0.6429637379468464,0.5982461783808896,0.5982461783808886,0.4120381230972724,0.5879618769027276,0.015457224052970807,0.019082545798979476,0.013854166586818895,0.5254044155837462,0.6866710626098821,0.6627131516303875,0.5932130606703039,0.6207211149770698,0.37927888502293017,0.6200265300688128,0.3799734699311872,0.6334620157649735,0.3665379842350265,0.5635813919934765,0.43641860800652355,0.4273584110569901,0.5726415889430099,0.37584044845187214,0.6241595515481279,0.4193252320427966,0.5806747679572034,0.6137798176491688,0.6633812199582417,0.6959626242093511,0.7087776395398497,0.718023685192918,0.6364915041929174,0.5932130606703064,0.15486872543236158,0.691303187821003,0.22402431836096387,0.019200000000000002,0.040799999999999996,0.06206666666666667,0.5749385080645162,0.5699350392357556,0.5657869041382924,0.626370564516129,0.6341469805527123,0.6589875676619521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
density,1.0,PCC,0,True,1000,768,-0.02769360172670199,-0.03830315625005853,-0.047495562839502355,0.6634762723537958,0.8829857837231321,0.8894721251986372,0.823932052417404,0.5770217746763798,0.42297822532362017,0.5865929240503646,0.41340707594963544,0.9818593048038358,0.018140695196164236,0.790250184571974,0.20974981542802595,0.5885929443469283,0.4114070556530717,0.481449088874302,0.5185509111256981,0.4488400841581547,0.5511599158418453,0.8478889085737148,0.8664358147273601,0.8773370197852409,0.8803758816198787,0.8993852613127614,0.8475294941267976,0.8239320524174082,0.823932052417404,0.4488400841581547,0.5511599158418453,-0.00546407416408361,0.00580686667316276,0.021114542236402384,0.6863001939776662,0.8934708328656359,0.8874172379092069,0.8191272575090851,0.6090248313597701,0.39097516864022985,0.6080323612693064,0.3919676387306936,0.6109951755747911,0.3890048244252089,0.3772435044014288,0.6227564955985712,0.2815442669259561,0.718455733074044,0.25647690739182033,0.7435230926081797,0.30961424806707394,0.6903857519329261,0.8434319915827303,0.8655786236660445,0.8784520853688214,0.8824102479521603,0.9040228042054412,0.8472835676604947,0.8191272575090843,0.15486872543236158,0.003043535143977179,50.884487316937914,0.0248,0.05906666666666667,0.08316666666666667,0.5983641129032258,0.6035648584100989,0.6067065828531517,0.7742435483870967,0.7591064483111566,0.749340876549677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
density,1.0,PCC,1,True,1000,768,-0.008844282930539814,-0.010782819469152684,-0.021388151176665295,0.6717231165285411,0.8842234508914805,0.8899906495494662,0.8159062608841638,0.5623272060853435,0.4376727939146565,0.567166342629669,0.43283365737033097,0.9939901248197577,0.006009875180242319,0.7935454859882268,0.20645451401177317,0.5912349331972417,0.40876506680275826,0.4842082248150585,0.5157917751849415,0.4531444970287079,0.546855502971292,0.8476699900531526,0.8672721597102411,0.8787608984331226,0.8819817900272301,0.900591886107441,0.8473076445763981,0.8159062608841652,0.8159062608841638,0.4531444970287079,0.546855502971292,0.00222259309963078,-0.005627701019688537,0.02508493470598877,0.6915706947395791,0.894455005027084,0.8882599775220875,0.8110733621536691,0.5799275986033383,0.4200724013966617,0.5854385400788655,0.41456145992113447,0.5964247166750762,0.40357528332492376,0.3917357541355328,0.6082642458644671,0.28997418549359677,0.7100258145064032,0.2620476369878924,0.7379523630121076,0.31876732761927745,0.6812326723807225,0.8401924516592194,0.8632058639046533,0.87718833377185,0.8819227043494736,0.9044900110866729,0.8473434681403004,0.8110733621536694,0.15486872543236158,0.0030062629354206272,51.515362680906954,0.0222,0.056,0.0799,0.5930558467741935,0.5933699078812691,0.5999221232757116,0.763283064516129,0.7489870351415899,0.7403337873232059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
density,1.0,PCC,2,True,1000,768,-0.052673167739236464,-0.058526748990221734,-0.0656379196428247,0.6573945311312579,0.8814893815898818,0.8882780960173,0.820030983679599,0.5848772125998146,0.4151227874001854,0.5829673143422868,0.41703268565771323,0.9760488651055996,0.023951134894400372,0.7892805340691134,0.21071946593088664,0.5879341982866475,0.4120658017133525,0.48160360713148115,0.5183963928685189,0.4501889510361772,0.5498110489638228,0.8438330541832141,0.8626961439234037,0.874141506562337,0.8775412705222786,0.8973341412467796,0.8445479962160174,0.8200309836795996,0.820030983679599,0.4501889510361772,0.5498110489638228,0.012855899435757736,0.00998831524364485,0.021384747300833683,0.6876742610373787,0.89424123838296,0.88741772474831,0.8156959908849424,0.5846404270632917,0.41535957293670833,0.5906431131967568,0.4093568868032432,0.5997061299699809,0.40029387003001915,0.373853169180289,0.626146830819711,0.28087444125730276,0.7191255587426972,0.25725809026415886,0.7427419097358412,0.3125086009609448,0.6874913990390552,0.8421286706563015,0.864769626592393,0.8779173038063375,0.8823715618658,0.9039552008614983,0.845666863086219,0.8156959908849448,0.15486872543236158,0.0029948122916989843,51.7123313075836,0.0218,0.05533333333333333,0.0821,0.5991915322580645,0.6026169907881269,0.6067791164658635,0.7672034274193549,0.7534881610371886,0.7419751004016064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
density,1.0,t-SNE,0,True,1000,768,0.18922557772553517,0.18506781117723112,0.24837100984435082,0.5707560532171058,0.6081666893754263,0.4906259490814763,0.27723915497429935,0.45826733179403245,0.5417326682059675,0.4475493390329738,0.5524506609670262,0.4426085129213175,0.5573914870786825,0.4561531842235726,0.5438468157764274,0.41240722872670194,0.587592771273298,0.39378809775463836,0.6062119022453616,0.4261589103386219,0.5738410896613781,0.4784536168125534,0.5763903765694932,0.627430741143321,0.6408541638885377,0.6184448063338239,0.37354442600114657,0.27723915497429935,0.27723915497429935,0.4261589103386219,0.5738410896613781,0.005503561635819004,0.008851463330052677,0.03410266680985867,0.4964972007082019,0.5806453427484625,0.481017069561501,0.26609398578762955,0.460991204006504,0.5390087959934959,0.4631854522886407,0.5368145477113593,0.4759352413446634,0.5240647586553366,0.5362079991725796,0.46379200082742045,0.4451825986581536,0.5548174013418463,0.41858292415503323,0.5814170758449668,0.4918257674382369,0.5081742325617631,0.34639402955447784,0.5028493362228963,0.5807464483470598,0.6070826885582165,0.6041429779385007,0.35725974699972723,0.26609398578763055,0.15486872543236158,0.5323639590066948,0.2909076071214919,0.3612,0.25020000000000003,0.20146666666666666,0.8790681451612903,0.7700172637325144,0.7056868517548455,0.8632435483870968,0.7980706243602866,0.744983586519993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
density,1.0,t-SNE,1,True,1000,768,0.18790849550728078,0.18729817336847987,0.25115300836086474,0.5822769366887569,0.5949586867259884,0.47755315433824086,0.299913893518817,0.45372139533894607,0.5462786046610539,0.4428594427011664,0.5571405572988336,0.4355523066795766,0.5644476933204234,0.45500422733506557,0.5449957726649344,0.41025081942065944,0.5897491805793406,0.3905488970254185,0.6094511029745815,0.4174111889712932,0.5825888110287067,0.4628489108156302,0.5619827550910355,0.6117196668727763,0.6251848666693496,0.6006409602876717,0.37503185480823226,0.2999138935188191,0.299913893518817,0.4174111889712932,0.5825888110287067,0.01236902330776103,0.025586532008416134,0.037326462815501435,0.5086646271519348,0.5694780960554986,0.4678357338881868,0.2890272977582578,0.4564740028838849,0.543525997116115,0.45787910878801175,0.5421208912119883,0.4730845958126678,0.5269154041873322,0.5283200085859695,0.4716799914140305,0.44486457294189324,0.5551354270581068,0.4191515416235604,0.5808484583764396,0.48108600407772745,0.5189139959222726,0.3345843532059867,0.4902982299662782,0.5679979438125753,0.5925526989978656,0.5875873552219066,0.36041801708384935,0.2890272977582605,0.15486872543236158,0.542740474595857,0.28534581937653003,0.3554,0.25880000000000003,0.21176666666666666,0.883145564516129,0.7794378710337768,0.7130877597345906,0.8662320564516129,0.803424087342204,0.751970281124498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
