dataset,snr,method,metric,stochastic,n_runs,median,mean,std,ci_lo,ci_hi
random_walk,inf,DREAMS,full_shepard,False,1,0.7619956484455225,0.7619956484455225,0.0,0.7619956484455225,0.7619956484455225
random_walk,inf,DREAMS,within_series_shepard,False,1,0.9433152125847608,0.9433152125847608,0.0,0.9433152125847608,0.9433152125847608
random_walk,inf,DREAMS,within_series_near_shepard,False,1,0.9466979410718169,0.9466979410718169,0.0,0.9466979410718169,0.9466979410718169
random_walk,inf,DREAMS,cross_series_shepard,False,1,0.6908627881443723,0.6908627881443723,0.0,0.6908627881443723,0.6908627881443723
random_walk,inf,DREAMS,step_structure,False,1,0.003392822990813929,0.003392822990813929,0.0,0.003392822990813929,0.003392822990813929
random_walk,inf,Isomap,full_shepard,False,1,0.5870751224052032,0.5870751224052032,0.0,0.5870751224052032,0.5870751224052032
random_walk,inf,Isomap,within_series_shepard,False,1,0.7753615933593724,0.7753615933593724,0.0,0.7753615933593724,0.7753615933593724
random_walk,inf,Isomap,within_series_near_shepard,False,1,0.6944722690523021,0.6944722690523021,0.0,0.6944722690523021,0.6944722690523021
random_walk,inf,Isomap,cross_series_shepard,False,1,0.5070308434762242,0.5070308434762242,0.0,0.5070308434762242,0.5070308434762242
random_walk,inf,Isomap,step_structure,False,1,0.00908906961540712,0.00908906961540712,0.0,0.00908906961540712,0.00908906961540712
random_walk,inf,PCA,full_shepard,False,1,0.7591611906273247,0.7591611906273247,0.0,0.7591611906273247,0.7591611906273247
random_walk,inf,PCA,within_series_shepard,False,1,0.896041707096253,0.896041707096253,0.0,0.896041707096253,0.896041707096253
random_walk,inf,PCA,within_series_near_shepard,False,1,0.5871711923174255,0.5871711923174255,0.0,0.5871711923174255,0.5871711923174255
random_walk,inf,PCA,cross_series_shepard,False,1,0.6922192489334693,0.6922192489334693,0.0,0.6922192489334693,0.6922192489334693
random_walk,inf,PCA,step_structure,False,1,0.8635038431573128,0.8635038431573128,0.0,0.8635038431573128,0.8635038431573128
random_walk,inf,PCC,full_shepard,True,3,0.8767045690498629,0.8723228325758909,0.013489174110435464,0.8540528780347345,0.8862110506430754
random_walk,inf,PCC,within_series_shepard,True,3,0.9504047393654769,0.9460986494430431,0.017600126753202557,0.9227149689572328,0.9651762400064198
random_walk,inf,PCC,within_series_near_shepard,True,3,0.4737593999065349,0.478139307921267,0.0255627720815932,0.4492520149611154,0.5114065088961507
random_walk,inf,PCC,cross_series_shepard,True,3,0.8602690113243423,0.8556418650368292,0.01097075220598765,0.8405033847248613,0.8661531990612841
random_walk,inf,PCC,step_structure,True,3,0.43615986404532864,0.4297110861206486,0.01894573561255816,0.4039651231833385,0.44900827113327874
random_walk,inf,PyMDE,full_shepard,True,3,0.7261141482317973,0.7386952377036603,0.0379676404943962,0.6997795911839318,0.7901919736952517
random_walk,inf,PyMDE,within_series_shepard,True,3,0.7579043032389149,0.7864349267954066,0.05063881931518203,0.7438149357963816,0.8575855413509236
random_walk,inf,PyMDE,within_series_near_shepard,True,3,0.473962327673847,0.47767756773926856,0.04193564173831758,0.4282756051025018,0.5307947704414568
random_walk,inf,PyMDE,cross_series_shepard,True,3,0.7088062811752572,0.7143542181788893,0.03443623002940563,0.6752271580034759,0.7590292153579348
random_walk,inf,PyMDE,step_structure,True,3,1.2929658481798985,1.194890101700187,0.2414467888877156,0.862602005582009,1.4291024513386532
random_walk,inf,UMAP,full_shepard,True,3,0.5389079699152972,0.5353963061880866,0.010584371586521974,0.5210391035171998,0.5462418451317628
random_walk,inf,UMAP,within_series_shepard,True,3,0.8251399590349782,0.8342662502068685,0.017144821529409698,0.8193755924372389,0.8582831991483885
random_walk,inf,UMAP,within_series_near_shepard,True,3,0.8709934386615402,0.8709678529055888,0.002001606359586604,0.868503703045261,0.8734064170099649
random_walk,inf,UMAP,cross_series_shepard,True,3,0.4069142666067093,0.402845880887456,0.014854041328440397,0.3829637191262973,0.41865965692936136
random_walk,inf,UMAP,step_structure,True,3,0.0032695998167177427,0.0034382829644937552,0.00042902561910042753,0.003017892956737578,0.004027356120025946
random_walk,inf,t-SNE,full_shepard,True,3,0.5015757676617953,0.5181433555629078,0.061005032781302225,0.45310213802130106,0.5997521610056269
random_walk,inf,t-SNE,within_series_shepard,True,3,0.8705251780949107,0.8786270173397407,0.020764764411149075,0.8582334424446989,0.9071224314796128
random_walk,inf,t-SNE,within_series_near_shepard,True,3,0.9518668951852138,0.9516830193785348,0.0012700879041150639,0.9500437201107889,0.9531384428396017
random_walk,inf,t-SNE,cross_series_shepard,True,3,0.3526742828829646,0.37746682165852247,0.08009822317768023,0.29414169557940983,0.48558448651319297
random_walk,inf,t-SNE,step_structure,True,3,0.0007533811431411013,0.0008150319216307113,9.650493930585613e-05,0.0007404097357523337,0.0009513048859986989
random_walk,inf,toorPIA,full_shepard,False,1,0.8930308366996459,0.8930308366996459,0.0,0.8930308366996459,0.8930308366996459
random_walk,inf,toorPIA,within_series_shepard,False,1,0.9660086650822832,0.9660086650822832,0.0,0.9660086650822832,0.9660086650822832
random_walk,inf,toorPIA,within_series_near_shepard,False,1,0.6152999453887303,0.6152999453887303,0.0,0.6152999453887303,0.6152999453887303
random_walk,inf,toorPIA,cross_series_shepard,False,1,0.8708984712357081,0.8708984712357081,0.0,0.8708984712357081,0.8708984712357081
random_walk,inf,toorPIA,step_structure,False,1,0.7089721128494012,0.7089721128494012,0.0,0.7089721128494012,0.7089721128494012
