dataset,snr,method,n_runs,position_dispersion,mean_pairwise_disparity,full_shepard__std,full_stress_fidelity__std,shepard_p5__vs_ambient__std,shepard_p100__vs_truth__std,recall_k15__std
density,1.0,PyMDE,3,0.012982606812366708,0.9985662936112761,0.004963392562698057,0.0012717373592407823,0.01462571447584542,0.00466988852545719,0.00249107047246067
density,1.0,PCC,3,0.010277722565462019,0.859820192110586,0.003276939716857966,0.0017976115056984679,0.01795131279887636,0.0032999582056131255,0.0016257192140597249
density,1.0,t-SNE,3,0.0130389485235828,0.7097678041813996,0.01343933468172818,0.004152851423477101,0.001909181865950475,0.013364143128494916,0.003512657887141695
density,1.0,UMAP,3,0.006364711296230498,0.15340649268159026,0.003200862549270057,0.002517187598348443,0.0046517310994113395,0.002736807091265608,0.002940059628185112
density,1.0,toorPIA,3,8.767636749018476e-05,0.0003178074404940337,1.6711909817289412e-05,4.0930382492704023e-07,0.0003483662831228251,3.2716658046630285e-05,0.0001369869778437512
transition,1.0,PyMDE,3,0.01374268107614328,0.9197251484549392,0.06713263855861265,0.003118497743356418,0.020401177578560543,0.0667030156402216,0.00653250183673252
transition,1.0,PCC,3,0.012525601817412626,0.5295053765718861,0.0040574571041549655,0.0008449171324707296,0.002871012213146121,0.007402642942053146,0.0023795424396766377
transition,1.0,t-SNE,3,0.006195106951358053,0.185159369092028,0.02647909466320132,0.012626993775446278,0.001954501008380329,0.02718327823364658,0.0005192587309132528
transition,1.0,UMAP,3,0.003956928972590175,0.05058696351265285,0.00717954482542827,0.0019834422073459787,0.006157572505981148,0.007415592823232713,0.0030484159011153196
transition,1.0,toorPIA,3,4.217682901344292e-08,6.680349140885292e-11,9.856695898325258e-09,1.930596362463016e-09,1.342298303428934e-07,1.5703000170875985e-08,2.7755575615628914e-17
clusters,1.0,PyMDE,3,0.014306849440931989,0.8912832893802967,0.040598264937064546,0.008709409839720697,0.0072962950127748085,0.03936280991971974,0.005816706462773764
clusters,1.0,PCC,3,0.01390839280932917,0.6845311630781673,0.010401109073930234,0.0009823565949171656,0.013942336500480162,0.009949568429270752,0.0020427529234278083
clusters,1.0,t-SNE,3,0.012104441967826382,0.5763149308826451,0.0039897652109951425,0.0030966502592262865,0.005150431094627086,0.0039573706978619765,0.003415577965660596
clusters,1.0,UMAP,3,0.013984326223277796,0.7273277022433513,0.008737096231587888,0.006156207423912321,0.002645304167080285,0.013591244491126232,0.0035594423200312687
clusters,1.0,toorPIA,3,7.362314270298676e-19,2.2061638390542073e-31,0.0,0.0,0.0,0.0,0.0
outliers,1.0,PyMDE,3,0.013968768529178489,0.9081020725943194,0.0313990515600167,0.006321286817915387,0.0026870278055551233,0.033837846185826144,0.0024609543466501543
outliers,1.0,PCC,3,0.013592338449796152,0.8033135835312591,0.005319111603382516,0.0013212995402968211,0.0022344022452294955,0.005513142870484924,0.0009443790827055848
outliers,1.0,t-SNE,3,0.01289026895385208,0.5864559146656341,0.010035098125711427,0.002147162168568336,0.002599031869925297,0.011844512620069466,0.001699091986988023
outliers,1.0,UMAP,3,0.011619218874557607,0.4375652824871832,0.006455520526816925,0.004155739494508469,0.004770959321848708,0.006066951507399833,0.0006999118110232679
outliers,1.0,toorPIA,3,3.968024331293726e-05,0.0001346173522249573,1.1083851207718694e-06,1.5385788663583409e-06,2.5970670267405228e-05,2.5839816048838432e-06,5.443310539517575e-05
populations,1.0,PyMDE,3,0.013310742316168269,0.9261259276640234,0.033804753730323475,0.008226813091917628,0.012236419377606396,0.033511002275872774,0.0008982836858403439
populations,1.0,PCC,3,0.012621049320759766,0.7914032707838947,0.004477438901770686,0.0028365337387994136,0.000863372918860751,0.0035330548093338303,0.0010275224908174922
populations,1.0,t-SNE,3,0.013431506254618227,0.6438780037946482,0.013997657584725988,0.0066024435689255615,0.003100723951132999,0.017085055561872765,0.0004838120234906209
populations,1.0,UMAP,3,0.008209986547572662,0.29382159862117657,0.02266181621140365,0.0057081515480429616,0.0021991414909602845,0.02434197150227752,0.0011212867388038113
populations,1.0,toorPIA,3,3.993847289955708e-05,8.109293754069306e-06,6.92695992429217e-07,1.654726255353154e-07,1.7080165593481064e-06,1.8840505451801495e-07,6.285393610546397e-05
