method,dynamic_range,metric,median,ci_lo,ci_hi,n_runs
Isomap,2.0,shepard_p5__vs_ambient,0.28833629036015845,0.28833629036015845,0.28833629036015845,1
Isomap,2.0,shepard_p10__vs_ambient,0.2898431104900592,0.2898431104900592,0.2898431104900592,1
Isomap,2.0,full_shepard,0.4793802634985209,0.4793802634985209,0.4793802634985209,1
Isomap,2.0,shepard_p100__vs_truth,0.4793802634985209,0.4793802634985209,0.4793802634985209,1
Isomap,5.0,shepard_p5__vs_ambient,0.19434932711079633,0.19434932711079633,0.19434932711079633,1
Isomap,5.0,shepard_p10__vs_ambient,0.22248100384539707,0.22248100384539707,0.22248100384539707,1
Isomap,5.0,full_shepard,0.4012675778668789,0.4012675778668789,0.4012675778668789,1
Isomap,5.0,shepard_p100__vs_truth,0.4012675778668789,0.4012675778668789,0.4012675778668789,1
Isomap,10.0,shepard_p5__vs_ambient,0.21253825476572835,0.21253825476572835,0.21253825476572835,1
Isomap,10.0,shepard_p10__vs_ambient,0.23840027314169468,0.23840027314169468,0.23840027314169468,1
Isomap,10.0,full_shepard,0.41199888157639897,0.41199888157639897,0.41199888157639897,1
Isomap,10.0,shepard_p100__vs_truth,0.41199888157639897,0.41199888157639897,0.41199888157639897,1
Isomap,20.0,shepard_p5__vs_ambient,0.19402378102940054,0.19402378102940054,0.19402378102940054,1
Isomap,20.0,shepard_p10__vs_ambient,0.21813773263569475,0.21813773263569475,0.21813773263569475,1
Isomap,20.0,full_shepard,0.38952198067130744,0.38952198067130744,0.38952198067130744,1
Isomap,20.0,shepard_p100__vs_truth,0.38952198067130744,0.38952198067130744,0.38952198067130744,1
Isomap,50.0,shepard_p5__vs_ambient,0.20218895969299175,0.20218895969299175,0.20218895969299175,1
Isomap,50.0,shepard_p10__vs_ambient,0.2217122911769338,0.2217122911769338,0.2217122911769338,1
Isomap,50.0,full_shepard,0.40722646452235506,0.40722646452235506,0.40722646452235506,1
Isomap,50.0,shepard_p100__vs_truth,0.40722646452235506,0.40722646452235506,0.40722646452235506,1
PCA,2.0,shepard_p5__vs_ambient,0.28023112910772047,0.28023112910772047,0.28023112910772047,1
PCA,2.0,shepard_p10__vs_ambient,0.2890528468115566,0.2890528468115566,0.2890528468115566,1
PCA,2.0,full_shepard,0.5151414112320025,0.5151414112320025,0.5151414112320025,1
PCA,2.0,shepard_p100__vs_truth,0.5151414112320025,0.5151414112320025,0.5151414112320025,1
PCA,5.0,shepard_p5__vs_ambient,0.3046940579193333,0.3046940579193333,0.3046940579193333,1
PCA,5.0,shepard_p10__vs_ambient,0.36851799469103486,0.36851799469103486,0.36851799469103486,1
PCA,5.0,full_shepard,0.5318707104929272,0.5318707104929272,0.5318707104929272,1
PCA,5.0,shepard_p100__vs_truth,0.5318707104929272,0.5318707104929272,0.5318707104929272,1
PCA,10.0,shepard_p5__vs_ambient,0.3038112071965271,0.3038112071965271,0.3038112071965271,1
PCA,10.0,shepard_p10__vs_ambient,0.36709130456262723,0.36709130456262723,0.36709130456262723,1
PCA,10.0,full_shepard,0.49601606303926926,0.49601606303926926,0.49601606303926926,1
PCA,10.0,shepard_p100__vs_truth,0.49601606303926926,0.49601606303926926,0.49601606303926926,1
PCA,20.0,shepard_p5__vs_ambient,0.303591841846836,0.303591841846836,0.303591841846836,1
PCA,20.0,shepard_p10__vs_ambient,0.3659299761830803,0.3659299761830803,0.3659299761830803,1
PCA,20.0,full_shepard,0.4642694219993202,0.4642694219993202,0.4642694219993202,1
PCA,20.0,shepard_p100__vs_truth,0.4642694219993202,0.4642694219993202,0.4642694219993202,1
PCA,50.0,shepard_p5__vs_ambient,0.3060367436677221,0.3060367436677221,0.3060367436677221,1
PCA,50.0,shepard_p10__vs_ambient,0.36600214542479875,0.36600214542479875,0.36600214542479875,1
PCA,50.0,full_shepard,0.4305227142337869,0.4305227142337869,0.4305227142337869,1
PCA,50.0,shepard_p100__vs_truth,0.4305227142337869,0.4305227142337869,0.4305227142337869,1
PCC,2.0,shepard_p5__vs_ambient,0.2438684175984583,0.24285740112544563,0.24679805637412136,20
PCC,2.0,shepard_p10__vs_ambient,0.2799480347957943,0.2788388280067752,0.2813963420376973,20
PCC,2.0,full_shepard,0.6985368621307577,0.6974017358901197,0.7001568862587231,20
PCC,2.0,shepard_p100__vs_truth,0.6985368621307577,0.6974017358901197,0.7001568862587231,20
PCC,5.0,shepard_p5__vs_ambient,0.23675448949161326,0.23558701513086452,0.23878170863014297,20
PCC,5.0,shepard_p10__vs_ambient,0.30085895711223565,0.2993782904470156,0.3020065073183855,20
PCC,5.0,full_shepard,0.6298710909162425,0.6275163574533567,0.6360230445551676,20
PCC,5.0,shepard_p100__vs_truth,0.6298710909162425,0.6275163574533567,0.6360230445551676,20
PCC,10.0,shepard_p5__vs_ambient,0.1742926119221727,0.157095508334676,0.1772583582506333,20
PCC,10.0,shepard_p10__vs_ambient,0.2338147396880121,0.20906216221705592,0.2420198308594648,20
PCC,10.0,full_shepard,0.4904418709355404,0.48722731463052416,0.5022179029300642,20
PCC,10.0,shepard_p100__vs_truth,0.4904418709355404,0.48722731463052416,0.5022179029300642,20
PCC,20.0,shepard_p5__vs_ambient,0.0556194774203665,0.05030408806819133,0.06068956564157764,20
PCC,20.0,shepard_p10__vs_ambient,0.08719244040066945,0.08242730537155976,0.0949288576736887,20
PCC,20.0,full_shepard,0.39939237008964024,0.3917528402074476,0.40299601243930894,20
PCC,20.0,shepard_p100__vs_truth,0.39939237008964024,0.3917528402074476,0.40299601243930894,20
PCC,50.0,shepard_p5__vs_ambient,0.009554679757564303,0.006952418861425537,0.011317862208881504,20
PCC,50.0,shepard_p10__vs_ambient,0.01651058755887034,0.009752177959401715,0.02229189617466773,20
PCC,50.0,full_shepard,0.376343477990152,0.3671440498493048,0.3814439684353058,20
PCC,50.0,shepard_p100__vs_truth,0.376343477990152,0.3671440498493048,0.3814439684353058,20
PyMDE,2.0,shepard_p5__vs_ambient,0.27431285594074895,0.27092479777262357,0.27757101922804306,20
PyMDE,2.0,shepard_p10__vs_ambient,0.3109490182360738,0.3091064090041067,0.312951378997406,20
PyMDE,2.0,full_shepard,0.6431428121681169,0.6408601344154696,0.6455144246974578,20
PyMDE,2.0,shepard_p100__vs_truth,0.6431428121681169,0.6408601344154696,0.6455144246974578,20
PyMDE,5.0,shepard_p5__vs_ambient,0.2678226696766113,0.2559832708421007,0.277614817167702,20
PyMDE,5.0,shepard_p10__vs_ambient,0.33038948424100345,0.32333543853284724,0.3424826333752626,20
PyMDE,5.0,full_shepard,0.5501099030288984,0.5428889950772855,0.5626727251703589,20
PyMDE,5.0,shepard_p100__vs_truth,0.5501099030288984,0.5428889950772855,0.5626727251703589,20
PyMDE,10.0,shepard_p5__vs_ambient,0.2462418907202756,0.22543625840311976,0.25955196493155974,20
PyMDE,10.0,shepard_p10__vs_ambient,0.30445751685422684,0.27115483078822866,0.3170597406367652,20
PyMDE,10.0,full_shepard,0.4695960008815254,0.45079002978202287,0.48683733365552817,20
PyMDE,10.0,shepard_p100__vs_truth,0.4695960008815254,0.45079002978202287,0.48683733365552817,20
PyMDE,20.0,shepard_p5__vs_ambient,0.2020000069078196,0.188998688333797,0.23175024406893446,20
PyMDE,20.0,shepard_p10__vs_ambient,0.24652120765811045,0.23099047698234637,0.2800423547292469,20
PyMDE,20.0,full_shepard,0.4157843332022556,0.39541598292030533,0.4527759246269487,20
PyMDE,20.0,shepard_p100__vs_truth,0.4157843332022556,0.39541598292030533,0.4527759246269487,20
PyMDE,50.0,shepard_p5__vs_ambient,0.21567140677668634,0.18386716962570468,0.23390378170907772,20
PyMDE,50.0,shepard_p10__vs_ambient,0.25869818359278157,0.22281367974547123,0.28495682252155463,20
PyMDE,50.0,full_shepard,0.40222322399650096,0.3534394253703479,0.4405548897449886,20
PyMDE,50.0,shepard_p100__vs_truth,0.40222322399650096,0.3534394253703479,0.4405548897449886,20
UMAP,2.0,shepard_p5__vs_ambient,0.30573505942402784,0.3048368397605946,0.30684403036205865,20
UMAP,2.0,shepard_p10__vs_ambient,0.3007671257274469,0.29959352098252773,0.3023096805782376,20
UMAP,2.0,full_shepard,0.4037904941659587,0.3970138612744334,0.4089277536473306,20
UMAP,2.0,shepard_p100__vs_truth,0.4037904941659587,0.3970138612744334,0.4089277536473306,20
UMAP,5.0,shepard_p5__vs_ambient,0.3337205997560004,0.33219947044237497,0.3347338888851614,20
UMAP,5.0,shepard_p10__vs_ambient,0.3656917112809953,0.36375987488904077,0.37014425444066057,20
UMAP,5.0,full_shepard,0.3817275892664759,0.37989058474230786,0.3878438077117904,20
UMAP,5.0,shepard_p100__vs_truth,0.3817275892664759,0.37989058474230786,0.3878438077117904,20
UMAP,10.0,shepard_p5__vs_ambient,0.3339378795644389,0.3316238871955526,0.3350913725048826,20
UMAP,10.0,shepard_p10__vs_ambient,0.3665715277853141,0.3635471225878564,0.3696742188400276,20
UMAP,10.0,full_shepard,0.38248823033696444,0.38047176899253543,0.38386224288347126,20
UMAP,10.0,shepard_p100__vs_truth,0.38248823033696444,0.38047176899253543,0.38386224288347126,20
UMAP,20.0,shepard_p5__vs_ambient,0.33169036732075663,0.33090688964444487,0.33392527869739963,20
UMAP,20.0,shepard_p10__vs_ambient,0.36588304383138054,0.36134766137887875,0.36898357442674645,20
UMAP,20.0,full_shepard,0.35760088954280195,0.3520416494140338,0.3646576256388101,20
UMAP,20.0,shepard_p100__vs_truth,0.35760088954280195,0.3520416494140338,0.3646576256388101,20
UMAP,50.0,shepard_p5__vs_ambient,0.3327379584047092,0.33122947770108085,0.3338966381935752,20
UMAP,50.0,shepard_p10__vs_ambient,0.36587981911398604,0.3629575678723328,0.36782230067941235,20
UMAP,50.0,full_shepard,0.3653454543970123,0.35558965997007247,0.37253825001472696,20
UMAP,50.0,shepard_p100__vs_truth,0.3653454543970123,0.35558965997007247,0.37253825001472696,20
t-SNE,2.0,shepard_p5__vs_ambient,0.30848264479611126,0.30693385330372824,0.3097441819680536,20
t-SNE,2.0,shepard_p10__vs_ambient,0.3015169986294557,0.2993796524223616,0.30269066975629755,20
t-SNE,2.0,full_shepard,0.4162393578119964,0.40965383530766003,0.4243895712986937,20
t-SNE,2.0,shepard_p100__vs_truth,0.4162393578119964,0.40965383530766003,0.4243895712986937,20
t-SNE,5.0,shepard_p5__vs_ambient,0.392360125455595,0.38941201073916953,0.3947080161598966,20
t-SNE,5.0,shepard_p10__vs_ambient,0.437335377193656,0.4364274589033813,0.4394026942276844,20
t-SNE,5.0,full_shepard,0.38753524632153613,0.38039448876981374,0.39937234242925423,20
t-SNE,5.0,shepard_p100__vs_truth,0.38753524632153613,0.38039448876981374,0.39937234242925423,20
t-SNE,10.0,shepard_p5__vs_ambient,0.39344123645892914,0.391558472190324,0.39508424345038373,20
t-SNE,10.0,shepard_p10__vs_ambient,0.4394097801866333,0.43740290644998775,0.44144242677833756,20
t-SNE,10.0,full_shepard,0.36448836855909605,0.35316167582130126,0.37070223556226134,20
t-SNE,10.0,shepard_p100__vs_truth,0.36448836855909605,0.35316167582130126,0.37070223556226134,20
t-SNE,20.0,shepard_p5__vs_ambient,0.39344123645892914,0.391558472190324,0.39508424345038373,20
t-SNE,20.0,shepard_p10__vs_ambient,0.4394097801866333,0.43740290644998775,0.44144242677833756,20
t-SNE,20.0,full_shepard,0.36353994203678114,0.35262588006450635,0.37090014915419556,20
t-SNE,20.0,shepard_p100__vs_truth,0.36353994203678114,0.35262588006450635,0.37090014915419556,20
t-SNE,50.0,shepard_p5__vs_ambient,0.39344123645892914,0.391558472190324,0.39508424345038373,20
t-SNE,50.0,shepard_p10__vs_ambient,0.4394097801866333,0.43740290644998775,0.44144242677833756,20
t-SNE,50.0,full_shepard,0.36300720928625585,0.35202114791998484,0.3710988709905353,20
t-SNE,50.0,shepard_p100__vs_truth,0.36300720928625585,0.35202114791998484,0.3710988709905353,20
toorPIA,2.0,shepard_p5__vs_ambient,0.2572245650115038,0.2572244248476885,0.2572323374206589,20
toorPIA,2.0,shepard_p10__vs_ambient,0.2934908314654994,0.2934641096393089,0.2934911123702342,20
toorPIA,2.0,full_shepard,0.6987062381044813,0.6987011649665323,0.6987198320895207,20
toorPIA,2.0,shepard_p100__vs_truth,0.6987062381044813,0.6987011649665323,0.6987198320895207,20
toorPIA,5.0,shepard_p5__vs_ambient,0.263289270282335,0.26328926336342307,0.2632892775109111,20
toorPIA,5.0,shepard_p10__vs_ambient,0.3271485175482492,0.32714851204925666,0.32714852152467855,20
toorPIA,5.0,full_shepard,0.6562181136599394,0.6562181132883458,0.6562181146982989,20
toorPIA,5.0,shepard_p100__vs_truth,0.6562181136599394,0.6562181132883458,0.6562181146982989,20
toorPIA,10.0,shepard_p5__vs_ambient,0.22763454877429018,0.22763454877429018,0.22763454877429018,20
toorPIA,10.0,shepard_p10__vs_ambient,0.2798264414839886,0.2798264414839886,0.2798264414839886,20
toorPIA,10.0,full_shepard,0.5329906042152986,0.5329906042152986,0.5329906042152986,20
toorPIA,10.0,shepard_p100__vs_truth,0.5329906042152986,0.5329906042152986,0.5329906042152986,20
toorPIA,20.0,shepard_p5__vs_ambient,0.23490857466850798,0.23490857466850798,0.23490857466850798,10
toorPIA,20.0,shepard_p10__vs_ambient,0.2838447511037992,0.2838447511037992,0.2838447511037992,10
toorPIA,20.0,full_shepard,0.4579785029847104,0.4579785029847104,0.4579785029847104,10
toorPIA,20.0,shepard_p100__vs_truth,0.4579785029847104,0.4579785029847104,0.4579785029847104,10
