outlier_factor,method,seed,stochastic,shepard_p5__vs_ambient,shepard_p10__vs_ambient,shepard_p20__vs_ambient,shepard_p30__vs_ambient,shepard_p50__vs_ambient,shepard_p75__vs_ambient,shepard_p100__vs_ambient,stress_p5__vs_ambient,stress_fidelity_p5__vs_ambient,stress_p10__vs_ambient,stress_fidelity_p10__vs_ambient,stress_p20__vs_ambient,stress_fidelity_p20__vs_ambient,stress_p30__vs_ambient,stress_fidelity_p30__vs_ambient,stress_p50__vs_ambient,stress_fidelity_p50__vs_ambient,stress_p75__vs_ambient,stress_fidelity_p75__vs_ambient,stress_p100__vs_ambient,stress_fidelity_p100__vs_ambient,full_shepard,full_stress,full_stress_fidelity,shepard_p5__vs_truth,shepard_p10__vs_truth,shepard_p20__vs_truth,shepard_p30__vs_truth,shepard_p50__vs_truth,shepard_p75__vs_truth,shepard_p100__vs_truth,stress_p5__vs_truth,stress_fidelity_p5__vs_truth,stress_p10__vs_truth,stress_fidelity_p10__vs_truth,stress_p20__vs_truth,stress_fidelity_p20__vs_truth,stress_p30__vs_truth,stress_fidelity_p30__vs_truth,stress_p50__vs_truth,stress_fidelity_p50__vs_truth,stress_p75__vs_truth,stress_fidelity_p75__vs_truth,stress_p100__vs_truth,stress_fidelity_p100__vs_truth,outlier_shepard__vs_ambient,osp_o0__vs_ambient,log2_osp_o0__vs_ambient,iso_rank_hd_o0__vs_ambient,iso_rank_2d_o0,iso_rank_delta_o0__vs_ambient,osp_o1__vs_ambient,log2_osp_o1__vs_ambient,iso_rank_hd_o1__vs_ambient,iso_rank_2d_o1,iso_rank_delta_o1__vs_ambient,osp_o2__vs_ambient,log2_osp_o2__vs_ambient,iso_rank_hd_o2__vs_ambient,iso_rank_2d_o2,iso_rank_delta_o2__vs_ambient,osp_o3__vs_ambient,log2_osp_o3__vs_ambient,iso_rank_hd_o3__vs_ambient,iso_rank_2d_o3,iso_rank_delta_o3__vs_ambient,osp_o4__vs_ambient,log2_osp_o4__vs_ambient,iso_rank_hd_o4__vs_ambient,iso_rank_2d_o4,iso_rank_delta_o4__vs_ambient,osp_o5__vs_ambient,log2_osp_o5__vs_ambient,iso_rank_hd_o5__vs_ambient,iso_rank_2d_o5,iso_rank_delta_o5__vs_ambient,osp_median__vs_ambient,osp_min__vs_ambient,log2_osp_median__vs_ambient,iso_rank_delta_mean__vs_ambient,pair_cohesion_dir0__vs_ambient,pair_angle_2d_dir0,pair_angle_hd_dir0__vs_ambient,pair_cohesion_dir1__vs_ambient,pair_angle_2d_dir1,pair_angle_hd_dir1__vs_ambient,pair_cohesion_dir2__vs_ambient,pair_angle_2d_dir2,pair_angle_hd_dir2__vs_ambient,pair_cohesion_median__vs_ambient,pair_angle_2d_max,recall_k5,recall_k15,recall_k30,trust_k5,trust_k15,trust_k30,cont_k5,cont_k15,cont_k30,shepard_near__vs_ambient,stress_near__vs_ambient,stress_fidelity_near__vs_ambient,near_band_pct__vs_ambient,near_band_fallback__vs_ambient,shepard_near__vs_truth,stress_near__vs_truth,stress_fidelity_near__vs_truth,near_band_pct__vs_truth,near_band_fallback__vs_truth,tight_cluster,tight_ratio_truth,tight_ratio_2d,tight_over_compression
1.5,PCA,0,False,0.2835847761301929,0.32830884826172546,0.469600391356188,0.774630623389026,0.7523238924990173,0.6485642680118595,0.5910556148279723,0.4054768516479886,0.5945231483520115,0.4052994473942317,0.5947005526057683,0.4091707292726357,0.5908292707273644,0.35600656302013994,0.6439934369798601,0.3376415297301139,0.6623584702698861,0.3302342096751741,0.669765790324826,0.32892311779962596,0.6710768822003741,0.5910556148279723,0.32892311779962596,0.6710768822003741,0.2835847761301929,0.32830884826172546,0.469600391356188,0.774630623389026,0.7523238924990173,0.6485642680118595,0.5910556148279723,0.4054768516479886,0.5945231483520115,0.4052994473942317,0.5947005526057683,0.4091707292726357,0.5908292707273644,0.35600656302013994,0.6439934369798601,0.3376415297301139,0.6623584702698861,0.3302342096751741,0.669765790324826,0.32892311779962596,0.6710768822003741,0.21889226826046257,1.2556035591581551,0.3283810235297529,949.0,997.0,48.0,1.1918019947457266,0.2531445672372519,947.0,995.0,48.0,1.2556035591581551,0.3283810235297529,951.0,999.0,48.0,1.2556035591581531,0.32838102352975057,948.0,996.0,48.0,1.191801994745726,0.2531445672372511,950.0,998.0,48.0,1.1918019947457275,0.253144567237253,952.0,1000.0,48.0,1.2237027769519404,1.191801994745726,0.2912531868796074,48.0,2.979756508515616e-15,0.6991236518934844,0.0,1.0383482959657361e-14,2.5409637263874645,0.0,5.374045424436422e-15,2.1328707344840985,0.0,5.374045424436422e-15,2.5409637263874645,0.1012,0.2026,0.3072,0.9117098790322581,0.9205651313544865,0.9291617950061114,0.9614733870967742,0.956910747185261,0.9582354810546534,,,,,,,,,,,,,,
1.5,Isomap,0,False,0.10206804903363945,0.11236129687636735,0.18230563249305565,0.6808008120328171,0.6911369721239952,0.5727795994371085,0.47913850927791046,0.703990086723947,0.29600991327605297,0.7041620804059279,0.29583791959407213,0.8285708339038753,0.17142916609612469,0.49781302173460146,0.5021869782653985,0.4433959521135554,0.5566040478864446,0.4280590506619125,0.5719409493380875,0.4301516966984369,0.5698483033015631,0.47913850927791046,0.4301516966984369,0.5698483033015631,0.10206804903363945,0.11236129687636735,0.18230563249305565,0.6808008120328171,0.6911369721239952,0.5727795994371085,0.47913850927791046,0.703990086723947,0.29600991327605297,0.7041620804059279,0.29583791959407213,0.8285708339038753,0.17142916609612469,0.49781302173460146,0.5021869782653985,0.4433959521135554,0.5566040478864446,0.4280590506619125,0.5719409493380875,0.4301516966984369,0.5698483033015631,0.10881848968563204,89.31354492170765,6.480807079971083,949.0,995.0,46.0,84.02088189506206,6.3926760235224975,947.0,999.0,52.0,89.31354492170793,6.480807079971087,951.0,996.0,45.0,89.31354492170794,6.480807079971087,948.0,997.0,49.0,84.02088189506202,6.3926760235224975,950.0,998.0,48.0,84.02088189506216,6.392676023522499,952.0,1000.0,48.0,86.6672134083849,84.02088189506202,6.437414413604347,48.0,13.634039996923487,1.5222392911590112,0.0,13.634039996926315,1.5222392911602085,0.0,13.634039996918952,1.5222392911592506,0.0,13.634039996923487,1.5222392911602085,0.05600000000000001,0.12986666666666666,0.21603333333333333,0.914989314516129,0.9247920163766632,0.9345412606949537,0.9315514112903226,0.9333988399863528,0.9388066352365986,,,,,,,,,,,,,,
1.5,PyMDE,0,True,0.27127069252171737,0.3327970924077127,0.5223483550432155,0.8245848771075859,0.7997004320807112,0.7050746835027134,0.6537742332370498,0.45677829329662983,0.5432217067033702,0.4385641071698839,0.5614358928301161,0.42325160581567356,0.5767483941843264,0.323876214641784,0.676123785358216,0.29844056026166815,0.7015594397383318,0.2886957495714439,0.711304250428556,0.283893417638578,0.716106582361422,0.6537742332370498,0.283893417638578,0.716106582361422,0.27127069252171737,0.3327970924077127,0.5223483550432155,0.8245848771075859,0.7997004320807112,0.7050746835027134,0.6537742332370498,0.45677829329662983,0.5432217067033702,0.4385641071698839,0.5614358928301161,0.42325160581567356,0.5767483941843264,0.323876214641784,0.676123785358216,0.29844056026166815,0.7015594397383318,0.2886957495714439,0.711304250428556,0.283893417638578,0.716106582361422,0.15108447004092912,0.5857877274063968,-0.771550126653695,949.0,7.0,-942.0,4.39990664156814,2.1374729125736667,947.0,856.0,-91.0,4.065387510813434,2.0233928758632356,951.0,5.0,-946.0,4.185013497503157,2.06523227576235,948.0,8.0,-940.0,4.409623327390405,2.1406554251898195,950.0,857.0,-93.0,4.362673629007982,2.1252125499409797,952.0,6.0,-946.0,4.27384356325557,0.5857877274063968,2.0955341015761375,-659.6666666666666,10.047393681678539,0.19751988327003497,0.0,10.103533308931372,0.8181630479105111,0.0,169.24002921976083,57.816610715566455,0.0,10.103533308931372,57.816610715566455,0.1152,0.21953333333333333,0.3335,0.9370155241935484,0.9427157966564312,0.9510182992840929,0.9614477822580645,0.9594,0.9625336476340143,,,,,,,,,,,,,,
1.5,PyMDE,1,True,0.2718291686638786,0.32925040732178634,0.5137571681247995,0.8219429334751271,0.7987740123881023,0.7044889306547306,0.6527068703602162,0.4864643996164952,0.5135356003835048,0.45031009722120635,0.5496899027787936,0.42913462874093095,0.570865371259069,0.3266623275289625,0.6733376724710375,0.29946953281939026,0.7005304671806097,0.2889218431195389,0.7110781568804612,0.2838596907851454,0.7161403092148546,0.6527068703602162,0.2838596907851454,0.7161403092148546,0.2718291686638786,0.32925040732178634,0.5137571681247995,0.8219429334751271,0.7987740123881023,0.7044889306547306,0.6527068703602162,0.4864643996164952,0.5135356003835048,0.45031009722120635,0.5496899027787936,0.42913462874093095,0.570865371259069,0.3266623275289625,0.6733376724710375,0.29946953281939026,0.7005304671806097,0.2889218431195389,0.7110781568804612,0.2838596907851454,0.7161403092148546,0.14794464854413783,4.281780138666612,2.0982107179562925,949.0,431.0,-518.0,4.508225721144678,2.1725597512296444,947.0,251.0,-696.0,4.255024468499704,2.089167428146651,951.0,432.0,-519.0,0.6012352284474783,-0.7339985506738831,948.0,4.0,-944.0,4.456618589984109,2.1559494963142356,950.0,711.0,-239.0,4.427765178333194,2.1465787124001015,952.0,712.0,-240.0,4.354772658499903,0.6012352284474783,2.1225974046987974,-526.0,375.49915865447247,156.83009744404168,0.0,169.5116946893266,56.69163037369458,0.0,375.79122038899715,157.64114170367216,0.0,375.49915865447247,157.64114170367216,0.11539999999999999,0.21906666666666666,0.33393333333333336,0.9367864919354839,0.9426131695667008,0.9512034922297887,0.9603667338709677,0.9590914363698396,0.9619940632093592,,,,,,,,,,,,,,
1.5,PyMDE,2,True,0.2001678763071688,0.2422876600899153,0.40046038356986524,0.6371352217948838,0.6289996432660162,0.578738957089922,0.5754372655961597,0.8513506411307976,0.14864935886920239,0.8336044050163799,0.1663955949836201,0.7803164949589461,0.21968350504105394,0.5379148426862608,0.4620851573137392,0.41805316811956883,0.5819468318804312,0.37120937323865033,0.6287906267613497,0.3479966241890636,0.6520033758109365,0.5754372655961597,0.3479966241890636,0.6520033758109365,0.2001678763071688,0.2422876600899153,0.40046038356986524,0.6371352217948838,0.6289996432660162,0.578738957089922,0.5754372655961597,0.8513506411307976,0.14864935886920239,0.8336044050163799,0.1663955949836201,0.7803164949589461,0.21968350504105394,0.5379148426862608,0.4620851573137392,0.41805316811956883,0.5819468318804312,0.37120937323865033,0.6287906267613497,0.3479966241890636,0.6520033758109365,0.134140384184112,0.8950547702677301,-0.159952128291483,949.0,926.0,-23.0,1.2483235446793588,0.3199919052008559,947.0,969.0,22.0,0.8769394438578507,-0.18945087258488127,951.0,927.0,-24.0,0.7120129328996911,-0.49002464855412325,948.0,8.0,-940.0,1.2639731980845517,0.3379658722171854,950.0,970.0,20.0,1.465633882611222,0.5515247612427364,952.0,7.0,-945.0,1.0716891574735445,0.7120129328996911,0.0998865140032053,-315.0,11.208647291631015,0.2199115194414482,0.0,10.746820955914313,0.12933255304815938,0.0,297.6637016435071,176.13624648987297,0.0,11.208647291631015,176.13624648987297,0.09240000000000001,0.18613333333333332,0.28369999999999995,0.8742298387096774,0.8784405322415558,0.8821679064082417,0.8664499999999999,0.8638670760832481,0.8656032477737035,,,,,,,,,,,,,,
1.5,PCC,0,True,0.2151265962787524,0.26233263868801276,0.43131772535673246,0.7996910296203972,0.8026189094835121,0.722882084236638,0.6921571955332955,0.6194279142529766,0.3805720857470234,0.5841359037861926,0.4158640962138074,0.7062794759988136,0.2937205240011864,0.3546720719919572,0.6453279280080428,0.2793154897106716,0.7206845102893285,0.25731519303162065,0.7426848069683794,0.2507847640806009,0.7492152359193991,0.6921571955332955,0.2507847640806009,0.7492152359193991,0.2151265962787524,0.26233263868801276,0.43131772535673246,0.7996910296203972,0.8026189094835121,0.722882084236638,0.6921571955332955,0.6194279142529766,0.3805720857470234,0.5841359037861926,0.4158640962138074,0.7062794759988136,0.2937205240011864,0.3546720719919572,0.6453279280080428,0.2793154897106716,0.7206845102893285,0.25731519303162065,0.7426848069683794,0.2507847640806009,0.7492152359193991,0.22191142065262787,25.98520579795761,4.699618579812637,949.0,3.0,-946.0,27.773946669849153,4.795660293162365,947.0,1.0,-946.0,26.97353729310056,4.7534728230082335,951.0,2.0,-949.0,27.055645825766575,4.757857774149339,948.0,5.0,-943.0,27.69487183289715,4.791546956859564,950.0,4.0,-946.0,28.910905269750316,4.85354187864981,952.0,6.0,-946.0,27.375258829331862,25.98520579795761,4.77480070015015,-946.0,997.3190582973997,69.94697664494517,0.0,972.1724002929591,67.92329664616547,0.0,74.27968821192334,0.9636353098906603,0.0,972.1724002929591,69.94697664494517,0.094,0.19186666666666669,0.2969,0.9331427419354839,0.9384661890139884,0.9465879867295268,0.9535254032258065,0.9512680996247015,0.9550203596996683,,,,,,,,,,,,,,
1.5,PCC,1,True,0.21605895362943503,0.2609834142251773,0.4315837157878833,0.8000507593725719,0.8009292716721087,0.7183042107452138,0.6833389939734102,0.6751471237886052,0.3248528762113948,0.6116840966087809,0.38831590339121913,0.7042994513360221,0.2957005486639779,0.35589214113310175,0.6441078588668983,0.2794592214925326,0.7205407785074673,0.2575649745372665,0.7424350254627334,0.2522284862307073,0.7477715137692926,0.6833389939734102,0.2522284862307073,0.7477715137692926,0.21605895362943503,0.2609834142251773,0.4315837157878833,0.8000507593725719,0.8009292716721087,0.7183042107452138,0.6833389939734102,0.6751471237886052,0.3248528762113948,0.6116840966087809,0.38831590339121913,0.7042994513360221,0.2957005486639779,0.35589214113310175,0.6441078588668983,0.2794592214925326,0.7205407785074673,0.2575649745372665,0.7424350254627334,0.2522284862307073,0.7477715137692926,0.21642674878976875,24.176825427620507,4.59555291679022,949.0,1.0,-948.0,26.510330008390103,4.728482724296779,947.0,5.0,-942.0,26.36456954410253,4.720528536829524,951.0,6.0,-945.0,24.730791844546225,4.628236528384358,948.0,3.0,-945.0,26.113956020460392,4.706749123919747,950.0,2.0,-948.0,24.969551022965103,4.642097975313874,952.0,4.0,-948.0,25.54175352171275,24.176825427620507,4.674785668880146,-946.0,897.1621584033686,67.70978868479385,0.0,905.5604085532918,68.88650493030836,0.0,1527.7637075745304,146.37293570120343,0.0,905.5604085532918,146.37293570120343,0.1018,0.19526666666666664,0.29436666666666667,0.9323866935483871,0.938512657795974,0.9459434957220185,0.9527163306451613,0.9508562947799386,0.9547657761480706,,,,,,,,,,,,,,
1.5,PCC,2,True,0.21145014748483615,0.2627904324611676,0.4361124788722041,0.8018684034696014,0.8005423884904023,0.7171532438942887,0.690803672309767,0.677817129192558,0.322182870807442,0.6121183105831492,0.38788168941685075,0.6873483822681794,0.3126516177318206,0.353438580855277,0.646561419144723,0.27863969834710317,0.7213603016528969,0.2572008060390617,0.7427991939609383,0.25035539043512733,0.7496446095648727,0.690803672309767,0.25035539043512733,0.7496446095648727,0.21145014748483615,0.2627904324611676,0.4361124788722041,0.8018684034696014,0.8005423884904023,0.7171532438942887,0.690803672309767,0.677817129192558,0.322182870807442,0.6121183105831492,0.38788168941685075,0.6873483822681794,0.3126516177318206,0.353438580855277,0.646561419144723,0.27863969834710317,0.7213603016528969,0.2572008060390617,0.7427991939609383,0.25035539043512733,0.7496446095648727,0.2165269648279579,24.335015831049674,4.604961808043717,949.0,1.0,-948.0,26.08369000739547,4.70507607407277,947.0,5.0,-942.0,23.64412653608682,4.563409941469216,951.0,3.0,-948.0,24.49081982408757,4.6141691634543855,948.0,6.0,-942.0,26.218302795928224,4.712502392683962,950.0,4.0,-946.0,23.86521619204578,4.576837500532857,952.0,2.0,-950.0,24.41291782756862,23.64412653608682,4.609572830964723,-946.0,1392.8670809549712,133.13210179876384,0.0,60.756824474620664,0.5105727677077712,0.0,1424.835016031559,141.77417812109502,0.0,1392.8670809549712,141.77417812109502,0.1004,0.19646666666666668,0.3031666666666667,0.933525,0.93954923234391,0.9473532390431291,0.9536070564516129,0.9517353804162402,0.9553046272044701,,,,,,,,,,,,,,
1.5,t-SNE,0,True,0.34176924861049085,0.3592952256556476,0.47668380147190387,0.8070059363290001,0.7577172264630573,0.6158345317432289,0.5163007425735738,0.4929247422682526,0.5070752577317474,0.4414873877106367,0.5585126122893633,0.4212188617461797,0.5787811382538204,0.2998642589011463,0.7001357410988537,0.2718258533133003,0.7281741466866998,0.2657353517772787,0.7342646482227213,0.2716825008220211,0.7283174991779788,0.5163007425735738,0.2716825008220211,0.7283174991779788,0.34176924861049085,0.3592952256556476,0.47668380147190387,0.8070059363290001,0.7577172264630573,0.6158345317432289,0.5163007425735738,0.4929247422682526,0.5070752577317474,0.4414873877106367,0.5585126122893633,0.4212188617461797,0.5787811382538204,0.2998642589011463,0.7001357410988537,0.2718258533133003,0.7281741466866998,0.2657353517772787,0.7342646482227213,0.2716825008220211,0.7283174991779788,0.11159343773309059,2.2875630855254694,1.1938115300282743,949.0,999.0,50.0,2.3294694263144233,1.2200013955702087,947.0,995.0,48.0,2.1416420089056976,1.0987173432347337,951.0,997.0,46.0,2.45414406538036,1.295219941873358,948.0,996.0,48.0,2.171325152627875,1.1185757835112347,950.0,1000.0,50.0,2.032808091061023,1.0234740227856758,952.0,998.0,46.0,2.229444119076672,2.032808091061023,1.1566840390143136,48.0,0.00019138812601109435,9.793494554452109e-05,0.0,0.001565398250991553,0.001454959806552447,0.0,7.880427024472163e-05,8.687959680613074e-05,0.0,0.00019138812601109435,0.001454959806552447,0.47800000000000004,0.44006666666666666,0.46063333333333334,0.9824324596774193,0.9736307062436028,0.9695258599615855,0.9761570564516129,0.9658314568406687,0.9642001746114894,,,,,,,,,,,,,,
1.5,t-SNE,1,True,0.34191701744321856,0.36822014218354904,0.49512338783149323,0.8102024256359648,0.7501592791213878,0.6097346689811567,0.5052520290205065,0.4888455829438714,0.5111544170561286,0.4374941703242245,0.5625058296757754,0.4410230112686577,0.5589769887313423,0.318608199425768,0.681391800574232,0.29374069062316965,0.7062593093768303,0.28784565412981866,0.7121543458701813,0.2952923013650683,0.7047076986349317,0.5052520290205065,0.2952923013650683,0.7047076986349317,0.34191701744321856,0.36822014218354904,0.49512338783149323,0.8102024256359648,0.7501592791213878,0.6097346689811567,0.5052520290205065,0.4888455829438714,0.5111544170561286,0.4374941703242245,0.5625058296757754,0.4410230112686577,0.5589769887313423,0.318608199425768,0.681391800574232,0.29374069062316965,0.7062593093768303,0.28784565412981866,0.7121543458701813,0.2952923013650683,0.7047076986349317,0.09567961076215944,1.7765770708165411,0.8291002764951927,949.0,997.0,48.0,1.7552901758210573,0.8117095493975138,947.0,999.0,52.0,1.7364774965771441,0.796163714614666,951.0,995.0,44.0,1.8492575346929443,0.8869461539751234,948.0,1000.0,52.0,1.6863520788853759,0.7539057755645642,950.0,998.0,48.0,1.6482372861488805,0.720923953023219,952.0,996.0,44.0,1.7458838361991007,1.6482372861488805,0.8039575712727953,48.0,0.0021178463065581656,0.0024881690178829,0.0,0.00018634183984998098,0.00015008699628706214,0.0,0.002116365258718132,0.011680086233351684,0.0,0.002116365258718132,0.011680086233351684,0.4716,0.4473333333333333,0.47073333333333334,0.9834883064516129,0.9742143978164449,0.970104976427449,0.9748905241935484,0.966648925281474,0.9644599615854723,,,,,,,,,,,,,,
