method,minority_frac,metric,median,ci_lo,ci_hi,n_runs
Isomap,0.05,full_shepard,0.3460773650287782,0.3460773650287782,0.3460773650287782,1
Isomap,0.05,shepard_p5__vs_ambient,-0.015601771421168887,-0.015601771421168887,-0.015601771421168887,1
Isomap,0.05,minority_shepard__vs_ambient,0.07914424353193891,0.07914424353193891,0.07914424353193891,1
Isomap,0.05,within_majority_shepard__vs_ambient,0.4682025482764675,0.4682025482764675,0.4682025482764675,1
Isomap,0.05,within_minority_shepard__vs_ambient,0.20761701744319258,0.20761701744319258,0.20761701744319258,1
Isomap,0.05,cross_population_shepard__vs_ambient,0.04347038127684939,0.04347038127684939,0.04347038127684939,1
Isomap,0.1,full_shepard,0.23125101409067553,0.23125101409067553,0.23125101409067553,1
Isomap,0.1,shepard_p5__vs_ambient,-0.00361086205069239,-0.00361086205069239,-0.00361086205069239,1
Isomap,0.1,minority_shepard__vs_ambient,0.1632434101341733,0.1632434101341733,0.1632434101341733,1
Isomap,0.1,within_majority_shepard__vs_ambient,0.48079576746732955,0.48079576746732955,0.48079576746732955,1
Isomap,0.1,within_minority_shepard__vs_ambient,0.1591163035198486,0.1591163035198486,0.1591163035198486,1
Isomap,0.1,cross_population_shepard__vs_ambient,0.0224784318246352,0.0224784318246352,0.0224784318246352,1
Isomap,0.25,full_shepard,0.46985876338113775,0.46985876338113775,0.46985876338113775,1
Isomap,0.25,shepard_p5__vs_ambient,0.007698653494575425,0.007698653494575425,0.007698653494575425,1
Isomap,0.25,minority_shepard__vs_ambient,0.3715018923963355,0.3715018923963355,0.3715018923963355,1
Isomap,0.25,within_majority_shepard__vs_ambient,0.42609421050500623,0.42609421050500623,0.42609421050500623,1
Isomap,0.25,within_minority_shepard__vs_ambient,0.09513673437858315,0.09513673437858315,0.09513673437858315,1
Isomap,0.25,cross_population_shepard__vs_ambient,0.07085262363889042,0.07085262363889042,0.07085262363889042,1
Isomap,0.5,full_shepard,0.681906748381788,0.681906748381788,0.681906748381788,1
Isomap,0.5,shepard_p5__vs_ambient,0.007621785845872529,0.007621785845872529,0.007621785845872529,1
Isomap,0.5,minority_shepard__vs_ambient,0.5150283488715323,0.5150283488715323,0.5150283488715323,1
Isomap,0.5,within_majority_shepard__vs_ambient,0.19956412260820916,0.19956412260820916,0.19956412260820916,1
Isomap,0.5,within_minority_shepard__vs_ambient,0.34837218100458706,0.34837218100458706,0.34837218100458706,1
Isomap,0.5,cross_population_shepard__vs_ambient,0.11091924664259159,0.11091924664259159,0.11091924664259159,1
PCA,0.05,full_shepard,0.6075178082133136,0.6075178082133136,0.6075178082133136,1
PCA,0.05,shepard_p5__vs_ambient,0.0660069351484082,0.0660069351484082,0.0660069351484082,1
PCA,0.05,minority_shepard__vs_ambient,0.706296236223125,0.706296236223125,0.706296236223125,1
PCA,0.05,within_majority_shepard__vs_ambient,0.4729560586037764,0.4729560586037764,0.4729560586037764,1
PCA,0.05,within_minority_shepard__vs_ambient,-0.02473743820529843,-0.02473743820529843,-0.02473743820529843,1
PCA,0.05,cross_population_shepard__vs_ambient,0.6829993543641414,0.6829993543641414,0.6829993543641414,1
PCA,0.1,full_shepard,0.7230656043068799,0.7230656043068799,0.7230656043068799,1
PCA,0.1,shepard_p5__vs_ambient,0.04213951663098238,0.04213951663098238,0.04213951663098238,1
PCA,0.1,minority_shepard__vs_ambient,0.7080086399157878,0.7080086399157878,0.7080086399157878,1
PCA,0.1,within_majority_shepard__vs_ambient,0.5114609079907184,0.5114609079907184,0.5114609079907184,1
PCA,0.1,within_minority_shepard__vs_ambient,0.02455138246276121,0.02455138246276121,0.02455138246276121,1
PCA,0.1,cross_population_shepard__vs_ambient,0.6572939540994356,0.6572939540994356,0.6572939540994356,1
PCA,0.25,full_shepard,0.8430451340921948,0.8430451340921948,0.8430451340921948,1
PCA,0.25,shepard_p5__vs_ambient,0.028947691562638912,0.028947691562638912,0.028947691562638912,1
PCA,0.25,minority_shepard__vs_ambient,0.7743601935671176,0.7743601935671176,0.7743601935671176,1
PCA,0.25,within_majority_shepard__vs_ambient,0.49994273358256996,0.49994273358256996,0.49994273358256996,1
PCA,0.25,within_minority_shepard__vs_ambient,0.02920934576247605,0.02920934576247605,0.02920934576247605,1
PCA,0.25,cross_population_shepard__vs_ambient,0.6467469189807098,0.6467469189807098,0.6467469189807098,1
PCA,0.5,full_shepard,0.8834321404945095,0.8834321404945095,0.8834321404945095,1
PCA,0.5,shepard_p5__vs_ambient,0.043396214575523576,0.043396214575523576,0.043396214575523576,1
PCA,0.5,minority_shepard__vs_ambient,0.8781122448467902,0.8781122448467902,0.8781122448467902,1
PCA,0.5,within_majority_shepard__vs_ambient,0.39879297428763555,0.39879297428763555,0.39879297428763555,1
PCA,0.5,within_minority_shepard__vs_ambient,0.43200160517393943,0.43200160517393943,0.43200160517393943,1
PCA,0.5,cross_population_shepard__vs_ambient,0.660025672311871,0.660025672311871,0.660025672311871,1
PCC,0.05,full_shepard,0.7608076568685432,0.7532382460166196,0.7638981584136638,3
PCC,0.05,shepard_p5__vs_ambient,0.09216446800320578,0.09195616116858515,0.0938920969292502,3
PCC,0.05,minority_shepard__vs_ambient,0.21057060383644038,0.20455313831659724,0.25516914664071516,3
PCC,0.05,within_majority_shepard__vs_ambient,0.6804704495646675,0.6710618172921614,0.6857375319477264,3
PCC,0.05,within_minority_shepard__vs_ambient,0.022738393889366514,-0.006033082074591663,0.02341173337197848,3
PCC,0.05,cross_population_shepard__vs_ambient,0.19762641179226598,0.19209058211341645,0.20262604190437777,3
PCC,0.1,full_shepard,0.7994705978685546,0.7894388218409127,0.8036337187689266,3
PCC,0.1,shepard_p5__vs_ambient,0.09228345892946495,0.09182211125732478,0.09901087784396022,3
PCC,0.1,minority_shepard__vs_ambient,0.37139617502776234,0.3525322477651611,0.3729003731172066,3
PCC,0.1,within_majority_shepard__vs_ambient,0.6510583175830394,0.6297757278416712,0.6559614434649514,3
PCC,0.1,within_minority_shepard__vs_ambient,0.24649642258443874,0.18047450553982883,0.2574269026785612,3
PCC,0.1,cross_population_shepard__vs_ambient,0.2622745256401327,0.26199274437767817,0.26375721745197006,3
PCC,0.25,full_shepard,0.8775219247135991,0.8702424412964787,0.8797680159316147,3
PCC,0.25,shepard_p5__vs_ambient,0.08302660607478247,0.08147881098044696,0.09193625393972052,3
PCC,0.25,minority_shepard__vs_ambient,0.63476549594469,0.5962526628975211,0.6384714748601907,3
PCC,0.25,within_majority_shepard__vs_ambient,0.6376450482406965,0.6185430209484355,0.6445997123429089,3
PCC,0.25,within_minority_shepard__vs_ambient,0.49156613614338657,0.46467425856665223,0.5432672928937826,3
PCC,0.25,cross_population_shepard__vs_ambient,0.4231040468016716,0.3622883713103349,0.4293384291288413,3
PCC,0.5,full_shepard,0.9210515572984544,0.920945734720822,0.9211152604249454,3
PCC,0.5,shepard_p5__vs_ambient,0.07081484537151975,0.059938684618057,0.08371507995053704,3
PCC,0.5,minority_shepard__vs_ambient,0.9297873715459992,0.9294677659498622,0.9305530577963499,3
PCC,0.5,within_majority_shepard__vs_ambient,0.5532637062138648,0.5479562958519666,0.5594334056227511,3
PCC,0.5,within_minority_shepard__vs_ambient,0.5388861605749586,0.5367445872442328,0.540747714512612,3
PCC,0.5,cross_population_shepard__vs_ambient,0.8208000840765387,0.8199896647859833,0.8231478093669164,3
PyMDE,0.05,full_shepard,0.5953472828287163,0.593676238554387,0.6662078686384277,3
PyMDE,0.05,shepard_p5__vs_ambient,0.03958017608654451,0.03254949308546575,0.0612979861675007,3
PyMDE,0.05,minority_shepard__vs_ambient,0.08715287730225846,0.041394371678595776,0.12417536208527148,3
